WTeam,LTeam,WLoc
Indiana Pacers,Minnesota Timberwolves,H
Philadelphia 76ers,Chicago Bulls,H
Toronto Raptors,Washington Wizards,H
Memphis Grizzlies,Cleveland Cavaliers,V
Miami Heat,Oklahoma City Thunder,H
Atlanta Hawks,San Antonio Spurs,V
Dallas Mavericks,Portland Trail Blazers,H
Los Angeles Clippers,New Orleans Pelicans,H
Milwaukee Bucks,Brooklyn Nets,V
Phoenix Suns,Boston Celtics,H
Detroit Pistons,Atlanta Hawks,V
Philadelphia 76ers,New York Knicks,H
Chicago Bulls,Cleveland Cavaliers,V
Toronto Raptors,Minnesota Timberwolves,H
Golden State Warriors,Orlando Magic,H
Los Angeles Lakers,Houston Rockets,V
Oklahoma City Thunder,Portland Trail Blazers,V
Utah Jazz,Sacramento Kings,H
San Antonio Spurs,Miami Heat,H
Indiana Pacers,Denver Nuggets,H
Washington Wizards,Detroit Pistons,V
Toronto Raptors,Atlanta Hawks,H
Philadelphia 76ers,Brooklyn Nets,H
Orlando Magic,Charlotte Hornets,H
New York Knicks,Cleveland Cavaliers,V
Oklahoma City Thunder,Houston Rockets,V
New Orleans Pelicans,Memphis Grizzlies,V
Miami Heat,Sacramento Kings,H
Milwaukee Bucks,Chicago Bulls,V
Boston Celtics,Los Angeles Lakers,V
Denver Nuggets,Minnesota Timberwolves,V
San Antonio Spurs,Phoenix Suns,H
Utah Jazz,Indiana Pacers,H
Portland Trail Blazers,Golden State Warriors,H
Los Angeles Clippers,Dallas Mavericks,H
Detroit Pistons,Sacramento Kings,V
