Home,Away,Winner,Loser,WinProb
Utah Jazz,Dallas Mavericks,Utah Jazz,Dallas Mavericks,0.9614543238841404
Toronto Raptors,Sacramento Kings,Sacramento Kings,Toronto Raptors,0.9301785417210872
Dallas Mavericks,Phoenix Suns,Phoenix Suns,Dallas Mavericks,0.7395976243527178
San Antonio Spurs,Memphis Grizzlies,Memphis Grizzlies,San Antonio Spurs,0.7815511239150312
Golden State Warriors,Detroit Pistons,Golden State Warriors,Detroit Pistons,0.6740961211165067
Boston Celtics,Los Angeles Lakers,Los Angeles Lakers,Boston Celtics,0.8010379284667288
Miami Heat,Sacramento Kings,Sacramento Kings,Miami Heat,0.993105446884942
New Orleans Pelicans,Houston Rockets,Houston Rockets,New Orleans Pelicans,0.9797415706868347
Charlotte Hornets,Milwaukee Bucks,Milwaukee Bucks,Charlotte Hornets,0.9882667551734079
Chicago Bulls,Portland Trail Blazers,Chicago Bulls,Portland Trail Blazers,0.9699652668466898
New York Knicks,Los Angeles Clippers,New York Knicks,Los Angeles Clippers,0.9468283341210827
Denver Nuggets,Utah Jazz,Denver Nuggets,Utah Jazz,0.7732833509192392
Indiana Pacers,Philadelphia 76ers,Philadelphia 76ers,Indiana Pacers,0.9592864829901633
Toronto Raptors,Orlando Magic,Toronto Raptors,Orlando Magic,0.9949839228305312
Washington Wizards,Brooklyn Nets,Brooklyn Nets,Washington Wizards,0.996198650641218
Minnesota Timberwolves,Cleveland Cavaliers,Cleveland Cavaliers,Minnesota Timberwolves,0.9753948758801224
San Antonio Spurs,Memphis Grizzlies,Memphis Grizzlies,San Antonio Spurs,0.7520221978946405
Dallas Mavericks,Phoenix Suns,Phoenix Suns,Dallas Mavericks,0.7207484357328368
Oklahoma City Thunder,Houston Rockets,Houston Rockets,Oklahoma City Thunder,0.9480524201093832
New Orleans Pelicans,Sacramento Kings,Sacramento Kings,New Orleans Pelicans,0.9997901027204812
